Registro,Modalidad,Responsable,Estado,Municipio,Ubicación,Tipo de evento,Actividad del responsable de la contaminación SCIAN 2023 - Clase,Actividad del responsable de la contaminación SCIAN 2023 - Subsector,Contaminante (específico),Contaminante (genérico),Área de suelo contaminado m²,Volumen de suelo contaminado m³,Programa de remediación aprobado,x,y,Técnica,Responsable de la remediación,Proceso de tratamiento,Año de conclusión,Área de suelo remediado m²,Año de identificación,Volumen de suelo remediado m³
2228,Emergencia ambiental,"Comercializadora de Combustible Gutasa, S.A. de C.V.",Zacatecas,Villa de Cos,Km 124+700 carretera Saltillo Zacatecas ,Derrame,Comercio al por mayor de combustibles,"Comercio al por mayor de materias primas agropecuarias y forestales, para la industria, y materiales de desecho",Petrolíferos,Hidrocarburos,1209.6,967.68,Si,-101.859,23.73,,,,,,2020,
2229,,,,,"Km 154+000 carretera federal No. 1050, tramo Hermosillo-Yepachic",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado,2022,615,,922.5
2230,,,,,"Km 001+000, carretera libre Camargo-Jiménez ",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado ,2022,664,,1157
2231,,,,,"Km 246 autopista México-Guadalajara, entronque con la autopista Siglo XXI",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V. ",Biorremediación por biopilas a un lado del sitio contaminado,2023,408,,408
2232,Emergencia ambiental,"Diésel Azteca, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Nanchital de Lázaro Cárdenas del Río,"Km 016+500 carretera No. 180 Coatzacoalcos-Villahermosa, tramo Nuevo Teapa-entronque a la Venta",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,525.5,157.65,Si,-94.298,18.072,,,,,,2020,
2233,Emergencia ambiental,"Transportes y Equipos Asamaz, S.A. de C.V.",Sonora,San Javier,Km 148+100 carretera Hermosillo-Yécora,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,1520,486.4,Si,-109.704,28.556,,,,,,2020,
2235,,,,,Km 199+000 carretera Hermosillo-Yécora ,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado ,2022,370,,30
2236,,,,,"Km 51 carretera federal No. 45 Chihuahua-Miguel Ahumada, con dirección a Chihuahua",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2023,165.5,,187.64
2237,Emergencia ambiental,Jorge García Torres,Tlaxcala,Cuapiaxtla,"Km 052+100 del tramo Amozoc-Perote, libramiento a Perote directo, con dirección a Cuapiaxtla",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,280,140,Si,-97.715,19.377,,,,,,2020,
2238,Emergencia ambiental,"Transportes Presurizados, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Medellín de Bravo,Libramiento Paso del Toro-Santa Fe km 9+800 en el poblado El Moralillo,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,50.52,72.15,Si,-96.198,19.085,,,,,,2020,
2240,,,,,"Km 238 carretera federal No. 150D, tramo Ciudad Mendoza-Esperanza",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,308,,234
2241,,,,,"Km 71+500 carretera No. 1170 Mérida-Cancún, tramo Kantunil-Puerto Juárez",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,267.79,,403.93
2242,,,,,"Carretera federal No. 150D, México-Puebla",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2023,1314,,1738.88
2243,,,,,Km 35 carretera federal No. 2 Sonoyta-San Luis Rio Colorado,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,1162,,1394.4
2244,Emergencia ambiental,"Petrocarriers, S.A. de C.V.",Tamaulipas,San Fernando,"Km 147+500 carretera Ciudad Victoria-Matamoros, cerca del Ejido de Las Norias",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,180,288,Si,-98.292,24.632,,,,,,2020,
2245,,,,,Km 228+300 carretera No. 2530 Tepanatepec-Talismán,,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,267,,257.66
2246,,,,,Km 141+900 autopista Arco Norte,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,613,,1076.3
2247,,,,,"Km 083+100 carretera Zacatecas-Saltillo, tramo Zacatecas-Saltillo",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,390,,273
2248,,,,,"Km 144+100 carretera federal No. 2755 Uruapan-Lázaro Cárdenas, entronque (autopista Pátzcuaro-Uruapan)",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,2899.5,,379.95
2249,,,,,Km 050+100 carretera Lagos de Moreno-Villa de Arriaga,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,240,,160
2250,Emergencia ambiental,"Petro Transportes, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Minatitlán,"Km 025+000 carretera federal No. 180D, tramo Minatitlán-Mundo Nuevo",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,1385.5,1714.57,Si,-94.524,18.015,,,,,,2020,
2251,,,,,Km 126  carretera federal Victoria-Jaumave,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,573.33,,338.03
2252,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+100 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,144,180,Si,-95.797,16.408,,,,,,2020,
2253,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 177+050 carretera Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,175,262.5,Si,-95.797,16.408,,,,,,2020,
2254,,,,,"Oleoducto de 6"" Ø Santuario-Golpe, km 008+127",,,,,,,,,,,Combinación de procesos biológicos-térmicos,"Corporativo de Servicios Ambientales, S.A. de C.V.",Biorremediación por landfarming en el sitio contaminado y desorción térmica fuera del sitio contaminado,2021,6495.23,,22228.62
2255,,,,,"Acceso a la autopista México-Puebla, a la altura del km 090+700",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2021,61,,196.2
2256,,,,,Km 041+200 libramiento sur poniente Querétaro,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2021,543,,885.3
2257,,,,,"Autopista Chapalilla-Compostela, km 1+300",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2021,115.92,,81.14
2258,,,,,Km 144+000 autopista Mazatlán-Culiacán,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2021,390,,663
2259,,,,,Km 101+300 autopista Arco Norte,,,,,,,,,,,Biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,143.81,,79.09
2260,,,,,Carretera rumbo nuevo km 025+000 Ejido El Huizachal,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2021,444,,388
2261,,,,,Km 177+000 carretera Tehuantepec-Oaxaca,,,,,,,,,,,Biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2021,446.2,,401.21
2262,,,,,Km 180+500 carretera Tehuantepec-Oaxaca,,,,,,,,,,,Biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2021,176.45,,176.45
2263,,,,,Km 162+750 carretera federal No. 135D Cuacnopalan-Oaxaca,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2021,516,,513
2264,,,,,"Acceso a la autopista México-Puebla, a la altura del km 090+700",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2021,192,,537.6
2265,,,,,Km 34+500 carretera Querétaro-Irapuato,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2021,326.6,,366
2266,,,,,Km 147+300 carretera federal No. 1050 tramo Hermosillo-Yepachi,,,,,,,,,,,Biológicos,"EQS Consulting Group, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,201.4,,301.34
2267,,,,,"Km 186+500 carretera No. 330 La Junta-Yepachic, tramo La Junta-Yepachic",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,506,,119.17
2268,,,,,"Km 183+400 carretera No. 132D Tulancingo-Tihuatlán, tramo Ávila Cañada-Cañada Rica",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,174.5,,193.36
2269,,,,,"Km 190+960 carretera entronque Aeropuerto Los Cabos-entronque San Pedro, tramo de norte a sur La Paz-Cabo San Lucas",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2022,300,,810
2271,,,,,Km 223 carretera federal No. 16 tramo La Junta-Tomochi,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,144.25,,48.95
2272,,,,,Km 234 carretera federal No. 16 tramo Tomochi-Basaseachi,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,396.2,,516.48
2273,,,,,"Km 005+900 carretera libre Hermosillo-Nogales, tramo San Pedro-Estación Zamora",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y bioventeo aerobio en el sitio contaminado,2023,217.5,,465
2274,Emergencia ambiental,"Trans Energéticos, S.A. de C.V.",Veracruz_de_Ignacio_de_la_Llave,Veracruz,Km 013+500 carretera federal Cardel-Veracruz,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,997,974,Si,-96.221,19.219,,,,,,2021,
2275,,,,,"Km 183+500 autopista Poza Rica-Veracruz, tramo Tihuatlán-El Palmar",,,,,,,,,,,Biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,1146.05,,528.92
2276,Emergencia ambiental,"Transportes Arios, S.A. de C.V.",Chihuahua,Janos,"Km 042+200 carretera federal No. 02 Janos-Agua Prieta, en el tramo Janos el Valle",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,300,432.2,Si,-108.48,31.155,,,,,,2021,
2278,,,,,Km 128 carretera Coatzacoalcos-Villahermosa,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,244.5,,266.56
2279,,,,,"Fresno No. 409, en la colonia Atlampa",,,,,,,,,,,Químicos,"Obras y Servicios JISA, S.A de C.V.",Oxidación química a un lado del sitio contaminado,2022,2853.52,,2441.88
2280,,,,,"Km 063+000 autopista Río Verde-Ciudad Valles, tramo Rayón-La Pitaya",,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2022,159,,95.4
2281,,,,,Km 36 carretera Morelia-Salamanca,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2023,22.5,,33.75
2282,,,,,Km 265+300 carretera Zacatecas-Saltillo,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,452,,478.92
2283,,,,,Km 004+500  carretera federal No. 85 Zaragoza-Ciudad Victoria,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,222.7,,473.07
2284,,,,,Km 48+800 carretera federal Zacatecas-Durango,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,55.5,,55.5
2285,,,,,Km 207+150 carretera federal No. 2100 Puebla-Córdoba,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,613.75,,580.64
2286,,,,,Km 177+000 carretera Tehuantepec-Oaxaca ,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2023,219,,284.7
2287,,,,,"Km 96+816 carretera federal No. 57, tramo San Luis Potosí-Querétaro",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2022,236.1,,230.72
2288,,,,,Km 220+000 carretera federal No. 2152 Puerto México-Ojo Caliente,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,395,,271.96
2289,,,,,Km 56 carretera federal No. 101 Ciudad Victoria-Tula,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2023,35,,91
2290,Emergencia ambiental,"Petro Express del Norte, S.A. de C.V.",Tamaulipas,González,Km 34 carretera González-Zaragoza,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,404,1145.5,Si,-98.711,23.002,,,,,,2021,
2291,Emergencia ambiental,Graziella del Socorro Salazar y Medina,Ciudad_de_México,Venustiano Carranza,"Calle Alberto Santos Dumont, No. 192, colonia Aviación Civil, C.P. 15740",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes",Petrolíferos,Hidrocarburos,1562,2242.75,Si,-99.079,19.418,,,,,,2021,
2292,,,,,"Km 10+500 carretera Rumbo Nuevo, comunidad de la Boca de Juan Capitán",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado,2023,41,,11.9
2293,Emergencia ambiental,"Kansas City Southern de México, S.A. de C.V.",Coahuila_de_Zaragoza,Saltillo,Km de vía punta norte PK B 901 en la localidad de los Viñedos del Álamo,Derrames y/o fugas,Transporte por ferrocarril,Transporte por ferrocarril,Petrolíferos,Hidrocarburos,527.39,606.49,Si,-101.044,25.36,,,,,,2021,
2294,,,,,Km 234 carretera federal No. 15D Tepic-Mazatlán a la altura del poblado Villa Unión,,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2023,123.5,,290.55
2295,Emergencia ambiental,"Transporte y Servicios STN, S.A. de C.V.",Jalisco,Zacoalco de Torres,Km 24 autopista Colima-Guadalajara,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,168,520.8,Si,-103.535,20.23,,,,,,2021,
2296,,,,,Km 025+900 carretera estatal Cerritos-entronque Tula,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2022,246,,147.6
2297,,,,,Km 035+500 carretera Mérida-Kantunil,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,169,,31.1
2298,,,,,Carretera Toluca-Atlacomulco en el km 6+000,,,,,,,,,,,Biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2022,360.11,,369.11
2299,,,,,Km 038+600 carretera Cuautla-Volcanes,,,,,,,,,,,Biológicos,"Ecología 2000, S.A. de C.V.",Bioventeo aerobio en el sitio contaminado,2022,270,,162
2300,,,,,Km 090+500 libramiento norte de la Ciudad de México (Arco norte),,,,,,,,,,,Combinación de procesos biológicos,"Ecología 2000, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado y bioventeo aerobio en el sitio contaminado,2022,385,,777.5
2301,,,,,Carretera México-Toluca km 31+950 colonia Las Cruces,,,,,,,,,,,Combinación de procesos biológicos,"Consultoría Ambiental, Estudios y Proyectos, S.A. de C.V.",Biorremediación por biopilas a un lado del sitio contaminado y bioventeo aerobio en el sitio contaminado,2022,1418.45,,1635
2302,,,,,"Km 045+650 carretera federal No. 305D, tramo El Cedral-Playa del Carmen",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,171,,114
2303,,,,,"Km 223+600 autopista No. 150D Puebla-Córdoba, tramo Puebla-Córdoba",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,595,,297.5
2304,,,,,"Km 022+100 (1120) Janos Agua Prieta, tramo Janos- El Valle",,,,,,,,,,,Biológicos,"Isali, S.A. de C.V.",Biorremediación por landfarming a un lado del sitio contaminado,2022,950,,1463
2305,Pasivo ambiental,Aeropuertos y Servicios Auxiliares,Yucatán,Mérida,"Plataforma del Aeropuerto Internacional de Mérida ""Manuel Crescencio Rejón"", carretera Mérida a Uman km 14.5",Derrames y/o fugas,Administración de aeropuertos y helipuertos,Servicios relacionados con el transporte,Petrolíferos,Hidrocarburos,N.E.I.,N.E.I.,No,-89.666,20.929,,,,,,2019,
2306,Emergencia ambiental,"Transporte y Servicios STN, S.A. de C.V.",Coahuila_de_Zaragoza,Ramos Arizpe,Km 030+600 carretera No. 2270 Saltillo-Monterrey,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,365,207.3,Si,-100.799,25.634,,,,,,2021,
2307,Emergencia ambiental,"III Servicios, S.A. de C.V.",Oaxaca,Santa María Ecatepec,Km 180+600 carretera No. 190 Tehuantepec-Oaxaca,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,275,301,Si,-95.773,16.399,,,,,,2021,
2308,Emergencia ambiental,"Karzo Transportes, S. de R.L. de C.V.",Tamaulipas,Güémez,Km 28 + 800 carretera federal No. 101 Ciudad Victoria-Matamoros,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,464,406.51,Si,-98.974,23.933,,,,,,2021,
2309,Emergencia ambiental,Erick Alonso Medina Martínez,Jalisco,Tomatlán,"Km 095+250 carretera federal No. 200, Manzanillo-Puerto Vallarta",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,120,324,Si,-105.223,19.733,,,,,,2021,
2310,Emergencia ambiental,"Regio Transportación, S.A. de C.V.",San_Luis_Potosí,Matehuala,Km 16+000 carretera federal No. 57,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,276.2,167.12,Si,-100.588,23.758,,,,,,2021,
2315,Emergencia ambiental,Edgar Arias Garfias,Michoacán_de_Ocampo,Charo,Km 150 carretera Maravatío-Morelia,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Petrolíferos,Hidrocarburos,448,806.4,Si,-101.022,19.765,,,,,,2022,
2316,Emergencia ambiental,"Transportes Arios, S.A. de C.V.",Chihuahua,Jiménez,Km 223+600 carretera No. 49D vía 931 Gómez Palacio- Jiménez,Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,Hidrocarburos,Hidrocarburos,225,450,Si,-104.844,27.084,,,,,,2022,
2317,Emergencia ambiental,"Transinergia, S.A. de C.V.",San_Luis_Potosí,Villa Juárez,"Km 054+000 carretera federal No. 75D, tramo Río Verde-San Luis Potosí",Derrame,Autotransporte foráneo de materiales y residuos peligrosos,Autotransporte de carga,"Petrolíferos, otros contaminantes",Mezcla de contaminantes,441.4,357.23,No,-100.274,22.305,,,,,,2022,
2319,Pasivo ambiental,"Shell México, S.A. de C.V",Hidalgo,Atitalaquia,"Estación de Servicio ""Estación Tula"", carretera JorobasTula, km 25.8, La Loma",Derrame,Comercio al por menor de gasolina y diésel,"Comercio al por menor de vehículos de motor, refacciones, combustibles y lubricantes","Hidrocarburos pesados, petrolíferos",Hidrocarburos,140,170,No,-99.26,20.042,,,,,,2020,
